Streamer Name,Watch Time (Minutes)
brax,204330900
HAchubby,203908095
Wingsofdeath,202858185
mang0,202842615
Philza,202591425
Kurumx,202487955
Pieface23,201823125
CurtisRyan,201233880
CalebDMTG,200582400
Fairlight_Excalibur,199826220
StreamerHouse,199501650
Twitch,198083340
Wardiii,196743645
KarasMai,195800370
Sloot,195525465
ChicaLive,195344370
Valkia,194961090
caps,194376465
Alfie,194074230
NiceWigg,193912155
JASONR,193460805
miniminter,189756300
ClintStevens,189206565
Jay3,187658970
SovietWomble,187497450
Speedrun,186800430
hexy,186060390
xChocoBars,185905980
SheriffEli,185394810
iateyourpie,184820460
KYR_SP33DY,184233300
Pengu,182358345
TSM_TheOddOne,181908120
VGBootCamp,181431360
CapcomFighters,181252125
Datto,181075290
BeatportOfficial,180850230
Sanchovies,180166830
GhostFreak66,179939730
Monkeynews,179083095
WARDELL,178718460
NiteNightKid,178419030
fuslie,178245645
Tyceno,177947595
Faux,177800325
Drjayfisto,177159195
BigEx,176005440
Becca,174842160
SirhcEz,174824130
twlevewinsHS,174228915
Zombie_Barricades,173823135
NBA2KLeague,173779995
GingiTV,171013470
venruki,170464680
nugiyen,169858440
HighDistortion,169501845
THump,169365870
MaTaFe_,169215480
VaporaDark,168943005
PaymoneyWubby,168861240
RTGameCrowd,168832200
Bawkbasoup,168736395
TSM_Hamlinz,167898480
DougisRaw,167875230
Mmorpg,167774640
BreaK,167534355
Xposed,167309220
BoarControlHS,166892040
CrReaM,166587645
SmallAnt,166352115
Naowh,165590085
Vargskelethor,164759730
LobosJr,163736505
Monstercat,163589370
DuelLinksMeta,163307010
swimstrim,162723510
AnneMunition,162714930
Reverse2k,162618315
erobb221,162559230
Cryaotic,162138405
Sweatcicle,161489220
tebtv,161468685
Alkaizerx,161185890
Rogue,159761910
easywithaces,159655155
dizzy,159505395
EAMaddenNFL,159449055
TobiasFate,159172080
PUBG,159140235
BananaSlamJamma,159071145
Dyrus,158999070
IFrostBolt,158035530
Kandyland,157882170
Sco,157847640
ProfessorBroman,157325925
PardonMyTake,156004485
Sweet_Anita,155731920
Draineo,155593140
AnthonyZ,154524165
roflgator,153963765
QuarterJade,153857655
Stewie2K,151271895
jorbs,151128345
kurt0411,150579045
SayNoToRage,150150330
MiltonTPike1,149975130
MarketTradersTV,148900110
Flambass,148717500
Aa9skillz,148596180
Limmy,148371105
kyliebitkin,147948870
CoconutB,147918285
FanHOTS,147664290
Killars,146865810
Weak3n,146770110
Tourva,146412075
wintergaming,146245920
monkeys_forever,145475145
trihex,144608640
Spaceboy,144599880
Froggen,144496815
RiceGum,144167385
ipav999,144114480
kragiee,143449350
Puppers,143414790
Crayator,143191365
MANvsGAME,142696875
foggedftw2,142444290
Linkus7,142322655
Arcadum,142213980
ImMarksman,142168560
SilentSentry,141219225
purple_hs,140426535
Zerkaa,140243025
Spraggy,139893270
Day9tv,139556325
JonBams,139067415
OuterHeaven,137995935
Yamikazexz,137528370
aircool,137305080
robn_live,137249820
Ezekiel_III,136597425
BrookeAB,135540690
innocents,135250410
RealKraftyy,135181170
Bamboe,134431230
MuTeX,133816530
RayNarvaezJr,133649520
Zalae,133078635
KheZu,132976365
RiotGamesOCE,132387150
AlcastHQ,132082785
julien,132054690
Ziqoftw,131821710
CouRageJD,131341275
JeffHoogland,130973670
Call of Duty (callofduty),130938960
Wackyjacky101,130390590
iceiceice,130179570
StarCraft,130159470
MadDecentLive,129993915
WillerZ,129956310
Markstrom,129129615
ops1x,128783415
Warcraft,127646610
DizzyKitten,127398990
Halifax,126885855
Gigz,126436725
richwcampbell,126132675
Cizzorz,125812350
RyuQuezacotl,125680845
Sigma,125477415
Robbaz,125249820
TommyKayLIVE,124680810
TMemoryy,124620795
Adin2Huncho,124133550
ALLinPav,124058985
Surefour,124056555
NumotTheNummy,123899265
CallMeCarsonLIVE,123486240
ZiggyDLive,123398085
KEEMSTAR,123365895
RelaxBeats,123273930
LAGTVMaximusBlack,123125340
Destructoid,122628630
AndyMilonakis,122311065
